example_id,view_id,label,domain,source_name,source_group,action_id,frames_dir,frame_count,fps,center_frame,auxiliary_label,fold
Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f_ef31a3900a_f00002335,primary,1,native,Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f.mp4,native::Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f.mp4,,dataset/handball/Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f_ef31a3900a_f00002335/frames,41,30.0,2335,,3
Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f_ef31a3900a_f00003522,primary,1,native,Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f.mp4,native::Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f.mp4,,dataset/handball/Top 10 FUNNIEST HANDBALLS In Football history! - Footy Plaza (720p) (1)_b8267ffe2f_ef31a3900a_f00003522/frames,41,30.0,3522,,3
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000340,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000340/frames,41,25.0,340,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000380,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000380/frames,41,25.0,380,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000420,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000420/frames,41,25.0,420,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000460,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000460/frames,41,25.0,460,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000707,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00000707/frames,41,25.0,707,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00001150,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00001150/frames,41,25.0,1150,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00001686,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00001686/frames,41,25.0,1686,,1
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00002818,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00002818/frames,41,25.0,2818,,1
